strain,time,colour,bio.rep,tech.rep,cfu,dil,cfu.ml
none,0,blue,1,1,12,4,24000000
none,0,blue,1,2,18,4,36000000
none,0,blue,1,3,10,4,20000000
PK0311-1,0,blue,1,1,15,4,30000000
PK0311-1,0,blue,1,2,14,4,28000000
PK0311-1,0,blue,1,3,14,4,28000000
SBW25,0,blue,1,1,18,4,36000000
SBW25,0,blue,1,2,10,4,20000000
SBW25,0,blue,1,3,9,4,18000000
PK0307-4,0,blue,1,1,10,4,20000000
PK0307-4,0,blue,1,2,13,4,26000000
PK0307-4,0,blue,1,3,22,4,44000000
none,0,white,1,1,0,1,0
none,0,white,1,2,0,1,0
none,0,white,1,3,0,1,0
PK0311-1,0,white,1,1,4,4,8000000
PK0311-1,0,white,1,2,7,4,14000000
PK0311-1,0,white,1,3,3,4,6000000
SBW25,0,white,1,1,7,4,14000000
SBW25,0,white,1,2,7,4,14000000
SBW25,0,white,1,3,5,4,10000000
PK0307-4,0,white,1,1,7,4,14000000
PK0307-4,0,white,1,2,5,4,10000000
PK0307-4,0,white,1,3,5,4,10000000
none,6,blue,1,1,1,2,20000
none,6,blue,1,2,6,1,12000
none,6,blue,1,3,5,2,100000
PK0311-1,6,blue,1,1,4,2,80000
PK0311-1,6,blue,1,2,1,2,20000
PK0311-1,6,blue,1,3,13,2,260000
SBW25,6,blue,1,1,2,2,40000
SBW25,6,blue,1,2,13,2,260000
SBW25,6,blue,1,3,11,2,220000
PK0307-4,6,blue,1,1,7,2,140000
PK0307-4,6,blue,1,2,7,2,140000
PK0307-4,6,blue,1,3,11,2,220000
none,6,white,1,1,0,1,0
none,6,white,1,2,0,1,0
none,6,white,1,3,0,1,0
PK0311-1,6,white,1,1,7,2,140000
PK0311-1,6,white,1,2,5,2,100000
PK0311-1,6,white,1,3,13,2,260000
SBW25,6,white,1,1,8,2,160000
SBW25,6,white,1,2,17,2,340000
SBW25,6,white,1,3,33,2,660000
PK0307-4,6,white,1,1,12,2,240000
PK0307-4,6,white,1,2,21,2,420000
PK0307-4,6,white,1,3,20,2,400000
none,24,blue,1,1,6,4,12000000
none,24,blue,1,2,3,3,600000
none,24,blue,1,3,6,3,1200000
PK0311-1,24,blue,1,1,2,3,400000
PK0311-1,24,blue,1,2,3,3,600000
PK0311-1,24,blue,1,3,8,3,1600000
SBW25,24,blue,1,1,1,4,2000000
SBW25,24,blue,1,2,9,4,18000000
SBW25,24,blue,1,3,1,3,200000
PK0307-4,24,blue,1,1,1,3,200000
PK0307-4,24,blue,1,2,3,3,600000
PK0307-4,24,blue,1,3,1,3,200000
none,24,white,1,1,0,1,0
none,24,white,1,2,0,1,0
none,24,white,1,3,0,1,0
PK0311-1,24,white,1,1,4,3,800000
PK0311-1,24,white,1,2,6,2,120000
PK0311-1,24,white,1,3,3,3,600000
SBW25,24,white,1,1,10,4,20000000
SBW25,24,white,1,2,10,3,2000000
SBW25,24,white,1,3,11,3,2200000
PK0307-4,24,white,1,1,2,4,4000000
PK0307-4,24,white,1,2,5,4,10000000
PK0307-4,24,white,1,3,7,3,1400000
none,48,blue,1,1,3,4,6000000
none,48,blue,1,2,1,2,20000
none,48,blue,1,3,4,3,800000
PK0311-1,48,blue,1,1,5,4,10000000
PK0311-1,48,blue,1,2,4,5,80000000
PK0311-1,48,blue,1,3,7,3,1400000
SBW25,48,blue,1,1,17,3,3400000
SBW25,48,blue,1,2,9,3,1800000
SBW25,48,blue,1,3,22,2,440000
PK0307-4,48,blue,1,1,3,4,6000000
PK0307-4,48,blue,1,2,3,3,600000
PK0307-4,48,blue,1,3,3,1,6000
none,48,white,1,1,0,1,0
none,48,white,1,2,0,1,0
none,48,white,1,3,0,1,0
PK0311-1,48,white,1,1,0,3,0
PK0311-1,48,white,1,2,1,3,200000
PK0311-1,48,white,1,3,5,3,1000000
SBW25,48,white,1,1,11,4,22000000
SBW25,48,white,1,2,3,4,6000000
SBW25,48,white,1,3,1,3,200000
PK0307-4,48,white,1,1,1,3,200000
PK0307-4,48,white,1,2,3,3,600000
PK0307-4,48,white,1,3,3,4,6000000
none,0,blue,2,1,15,4,30000000
none,0,blue,2,2,14,4,28000000
none,0,blue,2,3,16,4,32000000
SBW25,0,blue,2,1,14,4,28000000
SBW25,0,blue,2,2,10,4,20000000
SBW25,0,blue,2,3,12,4,24000000
PK0307-4,0,blue,2,1,12,4,24000000
PK0307-4,0,blue,2,2,11,4,22000000
PK0307-4,0,blue,2,3,12,4,24000000
PK0311-1,0,blue,2,1,17,4,34000000
PK0311-1,0,blue,2,2,9,4,18000000
PK0311-1,0,blue,2,3,11,4,22000000
none,0,white,2,1,0,1,0
none,0,white,2,2,0,1,0
none,0,white,2,3,0,1,0
SBW25,0,white,2,1,12,4,24000000
SBW25,0,white,2,2,19,4,38000000
SBW25,0,white,2,3,9,4,18000000
PK0307-4,0,white,2,1,12,4,24000000
PK0307-4,0,white,2,2,4,4,8000000
PK0307-4,0,white,2,3,3,4,6000000
PK0311-1,0,white,2,1,6,4,12000000
PK0311-1,0,white,2,2,10,4,20000000
PK0311-1,0,white,2,3,4,4,8000000
none,6,blue,2,1,4,3,800000
none,6,blue,2,2,1,3,200000
none,6,blue,2,3,4,3,800000
SBW25,6,blue,2,1,2,3,400000
SBW25,6,blue,2,2,4,3,800000
SBW25,6,blue,2,3,1,3,200000
PK0307-4,6,blue,2,1,6,3,1200000
PK0307-4,6,blue,2,2,4,3,800000
PK0307-4,6,blue,2,3,6,3,1200000
PK0311-1,6,blue,2,1,5,3,1000000
PK0311-1,6,blue,2,2,3,3,600000
PK0311-1,6,blue,2,3,2,3,400000
