Experiment,Strain,In competition,Cell counted,Time,tech.rep,cfu,dil,cfu.ml
1,PK0307-4,None,Pseudomonas,0,1,5,7,10000000000
1,PK0307-4,None,Pseudomonas,0,2,4,7,8000000000
1,PK0307-4,None,Pseudomonas,0,3,5,7,10000000000
1,PK0307-4,STM50,Pseudomonas,0,1,4,5,80000000
1,PK0307-4,STM50,Pseudomonas,0,2,7,5,140000000
1,PK0307-4,STM50,Pseudomonas,0,3,4,5,80000000
1,PK0307-4,None,Pseudomonas,24,1,4,3,800000
1,PK0307-4,None,Pseudomonas,24,2,7,3,1400000
1,PK0307-4,None,Pseudomonas,24,3,4,3,800000
1,PK0307-4,STM50,Pseudomonas,24,1,14,3,2800000
1,PK0307-4,STM50,Pseudomonas,24,2,3,3,600000
1,PK0307-4,STM50,Pseudomonas,24,3,3,3,600000
1,PK0307-4,None,Pseudomonas,48,1,4,3,800000
1,PK0307-4,None,Pseudomonas,48,2,7,3,1400000
1,PK0307-4,None,Pseudomonas,48,3,4,3,800000
1,PK0307-4,STM50,Pseudomonas,48,1,14,3,2800000
1,PK0307-4,STM50,Pseudomonas,48,2,3,3,600000
1,PK0307-4,STM50,Pseudomonas,48,3,3,3,600000
1,PK0307-4,None,Pseudomonas,72,1,16,3,3200000
1,PK0307-4,None,Pseudomonas,72,2,15,3,3000000
1,PK0307-4,None,Pseudomonas,72,3,15,2,300000
1,PK0307-4,STM50,Pseudomonas,72,1,19,3,3800000
1,PK0307-4,STM50,Pseudomonas,72,2,18,3,3600000
1,PK0307-4,STM50,Pseudomonas,72,3,3,3,600000
1,PK0307-4,STM50,Salmonella,0,1,6,5,120000000
1,PK0307-4,STM50,Salmonella,0,2,7,5,140000000
1,PK0307-4,STM50,Salmonella,0,3,3,5,60000000
1,PK0307-4,STM50,Salmonella,24,1,18,2,360000
1,PK0307-4,STM50,Salmonella,24,2,11,2,220000
1,PK0307-4,STM50,Salmonella,24,3,2,2,40000
1,PK0307-4,STM50,Salmonella,48,1,18,2,360000
1,PK0307-4,STM50,Salmonella,48,2,11,2,220000
1,PK0307-4,STM50,Salmonella,48,3,2,2,40000
1,PK0307-4,STM50,Salmonella,72,1,12,2,240000
1,PK0307-4,STM50,Salmonella,72,2,13,2,260000
1,PK0307-4,STM50,Salmonella,72,3,2,2,40000
1,STM50,None,Salmonella,0,1,6,5,120000000
1,STM50,None,Salmonella,0,2,6,5,120000000
1,STM50,None,Salmonella,0,3,10,5,200000000
1,STM50,None,Salmonella,24,1,9,2,180000
1,STM50,None,Salmonella,24,2,11,2,220000
1,STM50,None,Salmonella,24,3,12,2,240000
1,STM50,None,Salmonella,48,1,9,2,180000
1,STM50,None,Salmonella,48,2,11,2,220000
1,STM50,None,Salmonella,48,3,12,2,240000
1,STM50,None,Salmonella,72,1,2,3,400000
1,STM50,None,Salmonella,72,2,2,2,40000
1,STM50,None,Salmonella,72,3,4,3,800000
2,PK0307-4,None,Pseudomonas,0,1,3,3,600000
2,PK0307-4,None,Pseudomonas,0,2,4,4,8000000
2,PK0307-4,None,Pseudomonas,0,3,5,4,10000000
2,STM50,None,Salmonella,0,1,8,4,16000000
2,STM50,None,Salmonella,0,2,19,4,38000000
2,STM50,None,Salmonella,0,3,9,4,18000000
2,PK0307-4,None,Pseudomonas,24,1,4,2,80000
2,PK0307-4,None,Pseudomonas,24,2,14,3,2800000
2,PK0307-4,None,Pseudomonas,24,3,9,3,1800000
2,PK0307-4,STM50,Pseudomonas,24,1,8,2,160000
2,PK0307-4,STM50,Pseudomonas,24,2,6,3,1200000
2,PK0307-4,STM50,Pseudomonas,24,3,3,3,600000
2,PK0307-4,STM50,Salmonella,24,1,2,1,4000
2,PK0307-4,STM50,Salmonella,24,2,5,1,10000
2,PK0307-4,STM50,Salmonella,24,3,6,1,12000
