Strain,Replicate,Timepoint,cfu,dilution,cfu.seedling,bio.rep,Tryptophan
STM50,1,48,22,7,4.40E+10,1,0
STM50,2,48,28,7,5.60E+10,1,0
STM50,3,48,30,7,6.00E+10,1,0
PK,1,48,6,6,1.20E+09,1,0
PK,2,48,2,6,4.00E+08,1,0
PK,3,48,3,6,6.00E+08,1,0
trpC,1,48,4,5,8.00E+07,1,0
trpC,2,48,7,5,1.40E+08,1,0
trpC,3,48,3,5,6.00E+07,1,0
STM50,1,48,10,2,2.00E+05,2,0
STM50,2,48,4,2,80000,2,0
STM50,3,48,2,0,400,2,0
PK,1,48,7,1,14000,2,0
PK,2,48,2,0,400,2,0
PK,3,48,9,2,180000,2,0
trpC,1,48,2,2,40000,2,0
trpC,2,48,2,1,4000,2,0
trpC,3,48,9,1,18000,2,0
STM50,1,48,15,2,3.00E+05,3,0
STM50,2,48,3,2,60000,3,0
STM50,3,48,7,3,1400000,3,0
PK,1,48,3,2,60000,3,0
PK,2,48,12,1,24000,3,0
PK,3,48,2,1,4000,3,0
trpC,1,48,50,0,10000,3,0
trpC,2,48,9,1,18000,3,0
trpC,3,48,40,0,8000,3,0
