locus_tag,gene_name,logFC,Pvalue,q.value
P_00001,,-0.35249195,0.290543671,0.380486951
P_00010,,-0.23575109,0.482981853,0.573759647
P_00102,yjjV,-0.382778098,0.00426109,0.008931482
P_01009,,-0.170070495,0.395745167,0.489162505
P_01010,,-0.314477092,0.02366593,0.043089713
P_01011,,-0.34407357,0.003304437,0.007078822
P_01012,davT_1,-0.124249552,0.500313958,0.590681302
P_01013,,-2.597758051,1.5888E-23,1.48504E-22
P_01014,mdtG_1,-2.614979775,2.26805E-93,1.07573E-91
P_01015,,-1.411143242,9.69041E-40,1.5935E-38
P_01016,pat,-1.951725091,6.6049E-134,4.7982E-132
P_01017,,0.149423687,0.088702012,0.138294172
P_01018,,-0.459740804,0.00284445,0.006180845
P_00103,cra,0.666364937,4.18229E-19,3.25674E-18
P_01019,queC_2,-0.250914284,0.011395168,0.022175948
P_01020,cyoE,-1.013839592,1.39187E-32,1.8321E-31
P_01021,cyoD_1,-1.345627489,2.64965E-07,9.46256E-07
P_01022,cyoC_1,-1.567010375,1.95599E-22,1.74038E-21
P_01023,cyoB_1,-1.70167658,3.23061E-74,1.15158E-72
P_01024,cyoA_1,-1.851032585,1.29221E-52,2.95458E-51
P_01025,dsbB_1,0.531748333,2.31275E-13,1.30639E-12
P_01026,hmp,-0.032028255,0.895028058,0.918063632
P_01027,norR2,-0.179191206,0.287687836,0.377294445
P_01028,,1.707998282,6.21945E-62,1.77579E-60
P_00104,,-0.820724746,1.03638E-11,5.18551E-11
P_01029,rhaS_2,1.06461275,1.52683E-31,1.93006E-30
P_01030,malT_2,0.374315471,0.00223449,0.004909547
P_01031,acoR_1,-0.841142965,4.19585E-22,3.68759E-21
P_01032,btuB_2,-0.244805389,0.021851152,0.040116366
P_01033,,0.047460241,0.819456721,0.858564747
P_01034,,-0.812335707,5.92324E-07,2.0478E-06
P_01035,,-0.136032373,0.109073058,0.165207252
P_01036,,-0.051694866,0.881455185,0.906896972
P_01037,,-0.098679825,0.50851394,0.598392763
P_01038,,0.181340521,0.645026593,0.720336178
P_00105,lacC,-0.558094759,0.002049811,0.004540279
P_01039,,-0.409854178,0.306926953,0.397513907
P_01040,,-0.419217683,0.146320137,0.212751777
P_01041,,-0.537890046,0.001698867,0.003814475
P_01042,,-0.074652784,0.509122688,0.598863519
P_01043,,0.00355832,0.969080285,0.977597426
P_01044,,-0.083790057,0.427036557,0.519449513
P_01045,,-0.193306978,0.444139032,0.535866682
P_01046,,0.015419778,0.900339872,0.922852389
P_01047,,-0.102628167,0.424044331,0.516466556
P_01048,,0.164452096,0.537998665,0.626155818
P_00106,fruA,-0.631292203,1.57893E-06,5.24086E-06
P_01049,,0.122379961,0.164767824,0.235928778
P_01050,,0.459545251,2.32804E-08,9.08888E-08
P_01051,,-0.304781684,0.168373537,0.240372072
P_01052,,-0.100923248,0.297825609,0.388370627
P_01053,,0.554878342,2.8331E-06,9.10367E-06
P_01054,,0.143149794,0.267808545,0.356271033
P_01055,,0.170775945,0.135847997,0.199598478
P_01056,,0.287146323,0.000376317,0.000941038
P_01057,,-1.121908335,2.00302E-09,8.57219E-09
P_01058,,-1.195384095,0.183283758,0.258761497
P_00107,phoD_1,0.00030057,0.998852463,0.99927537
P_01059,,-0.264150295,0.001976473,0.004389699
P_01060,,0.049163349,0.697420861,0.763199536
P_01061,,0.521136317,1.55502E-05,4.62876E-05
P_01062,,-0.117899261,0.77598429,0.827303333
P_01063,,0.526144419,3.48108E-05,9.95909E-05
P_01064,,0.486826149,0.130092092,0.19197699
P_01065,,-0.518743309,0.003607623,0.007682467
P_01066,,0.754648173,6.64218E-17,4.6038E-16
P_01067,,0.706143192,7.74431E-14,4.49389E-13
P_01068,gpmA_1,-0.032887367,0.697489146,0.763199536
P_00108,,0.06301505,0.496473801,0.587472639
P_01069,,-0.015304933,0.91197596,0.931618019
P_01070,,-0.261825117,0.093158215,0.144412728
P_01071,,-0.353710942,0.004831392,0.010031607
P_01072,hxpA,0.293100524,0.018978139,0.035304874
P_01073,,-0.27992879,0.288297237,0.377920933
P_01074,fdhA_2,-0.006582067,0.929044963,0.944850087
P_01075,hcaB_1,-0.200339985,0.150372945,0.217926851
P_01076,,0.169896195,0.0253602,0.045724846
P_01077,,-0.036971897,0.82167484,0.860416681
P_01078,,0.946559966,4.14073E-31,5.13253E-30
P_00109,bfrD,0.113799982,0.451361814,0.542371326
P_01079,,0.226737234,0.143943225,0.20993397
P_01080,,-0.02796163,0.756683499,0.812917746
P_01081,gfo,0.048417441,0.533228299,0.621612271
P_01082,lig_1,-0.205875781,0.006366102,0.012937343
P_01083,,-0.532485845,0.00040532,0.001007856
P_01084,ibpA,0.159571891,0.059584577,0.097897478
P_01085,,0.096240116,0.639222804,0.715246573
P_01086,,0.998174142,3.91545E-31,4.8638E-30
P_01087,,0.504331955,0.002311509,0.005071005
P_01088,,0.067443573,0.5804221,0.663951053
P_00110,,-0.658591036,5.73509E-06,1.79464E-05
P_01089,,0.258159203,0.024836969,0.044936748
P_01090,,0.034950491,0.853379017,0.884192486
P_01091,,0.489291906,1.81673E-05,5.36604E-05
P_01092,,-0.682175693,0.176377318,0.250118465
P_01093,,-0.08164554,0.540864639,0.628853761
P_01094,,0.309854026,0.023551057,0.042907784
P_01095,umuD_1,0.078634693,0.774556163,0.826769273
P_01096,umuC_1,0.096065912,0.593182746,0.674717034
P_01097,,-0.093617099,0.450730686,0.541726368
P_01098,,-0.143288774,0.249299709,0.335007093
P_00111,,-0.733212133,2.66786E-09,1.12746E-08
P_01099,,-0.28440119,0.00795534,0.015935672
P_01100,,-0.035627472,0.766631933,0.821124974
P_01101,recF_1,0.238110242,0.00119519,0.002769155
P_01102,,-1.823313313,2.20354E-20,1.8021E-19
P_01103,,-0.504437021,0.430473987,0.52314792
P_01104,,-1.315826971,0.000521624,0.001277677
P_01105,,-0.28842036,0.023685112,0.043097291
P_01106,,-0.485695428,0.063258639,0.103189861
P_01107,,0.11808981,0.699184275,0.764308295
P_01108,,0.001616492,0.99412873,0.996006333
P_00011,,-0.149950291,0.170873252,0.243456205
P_00112,ldc,0.605999434,2.2508E-17,1.59277E-16
P_01109,,0.572038554,0.001486237,0.003376688
P_01110,,0.199915714,0.306159072,0.396624586
P_01111,,-0.404408366,0.005506005,0.011317681
P_01112,,-0.760637717,0.000160728,0.000421773
P_01113,xerC_3,0.026452469,0.97101926,0.978521428
P_01115,yccA,0.781799126,5.54102E-30,6.6527E-29
P_01116,murB,-0.598361985,5.52268E-06,1.731E-05
P_01117,yfkJ,-0.880357353,8.12256E-09,3.29204E-08
P_01118,kdsB,-0.303501819,0.004049358,0.008531301
P_01119,,0.493919167,0.045536699,0.077295213
P_00113,osmV,-0.426592637,0.093205218,0.144412728
P_01120,lpxK,-0.683461847,6.34928E-11,3.01238E-10
P_01121,,-0.536345007,0.000237133,0.000609824
P_01122,tolQ_2,-0.293452145,0.001608825,0.003622224
P_01123,comEC,0.139380769,0.29117154,0.381079468
P_01124,,-0.256426027,0.04019671,0.069172089
P_01125,pfeS,-0.995849577,1.26276E-15,8.12441E-15
P_01126,ompR_2,-1.878318402,1.45584E-95,7.08055E-94
P_01127,barA,-0.00431408,0.952212083,0.964139934
P_01128,ldhA,-0.351542547,0.000695542,0.001665297
P_01129,,-0.370821137,0.014391131,0.027457015
P_00114,osmW,0.62134813,5.7371E-05,0.000159909
P_01130,,-0.241509551,0.096840419,0.149279389
P_01131,resA_1,0.481084387,8.73738E-09,3.51714E-08
P_01132,yfgD,0.30413789,0.006281153,0.012769231
P_01133,,0.352648623,0.000104022,0.000279356
P_01134,,-0.052773353,0.744360475,0.80478637
P_01135,,0.139378422,0.912275936,0.931758605
P_01136,cmpR_1,-0.348829711,0.130992343,0.193106874
P_01137,cfiB,-0.562793753,1.55324E-13,8.86086E-13
P_01138,cfiA,-0.665857452,1.36059E-15,8.70502E-15
P_01139,,0.069965161,0.601973891,0.682213302
P_00115,osmX,-0.495653335,0.086263449,0.13489535
P_01140,,0.131696507,0.205713775,0.285511816
P_01141,,0.510678973,1.36226E-07,4.95753E-07
P_01142,,-1.75109719,3.01283E-05,8.68441E-05
P_01143,artQ_3,-0.869783448,4.78101E-05,0.000134567
P_01144,fliY_2,-1.94832367,2.36023E-38,3.7315E-37
P_01145,mmuM,0.17592562,0.290586218,0.380486951
P_01146,,0.653024893,5.33289E-08,2.02283E-07
P_01147,phnO,0.433577143,0.024404467,0.044237913
P_01148,paiB,0.430550384,0.018933997,0.035234179
P_01149,gabR_1,0.29003727,0.023680303,0.043097291
P_00116,osmY_1,-1.041984619,1.2148E-07,4.45514E-07
P_01150,,0.280369876,0.003775394,0.008009976
P_01151,spuD_1,0.496080143,0.017126629,0.032215576
P_01152,aphA_1,0.988012676,5.41626E-07,1.87591E-06
P_01153,,-0.494501783,0.048720429,0.082025285
P_01154,,0.298473038,0.002188961,0.004822436
P_01155,ansA,0.625075314,1.53878E-09,6.63988E-09
P_01156,alsT,0.175847301,0.205887858,0.285610137
P_01157,aspA,0.329938182,0.06409889,0.104358448
P_01158,yjiE,0.413231344,6.42494E-06,1.99961E-05
P_01159,purE,-0.514637681,1.01586E-05,3.09568E-05
P_00117,prfC,-0.217180736,0.022472822,0.041073733
P_01160,purK,-0.176087775,0.103736614,0.158378405
P_01161,,0.657174582,1.15725E-18,8.73876E-18
P_01162,,-0.573348092,1.19594E-07,4.39968E-07
P_01163,yeaD_1,-0.528698001,1.49679E-10,6.9052E-10
P_01164,,-0.278134083,0.001355359,0.0031151
P_01165,proP_2,-0.256301043,0.02027306,0.037482956
P_01166,pstS_1,0.133178835,0.203114927,0.282314499
P_01167,,-0.615851817,1.95374E-05,5.75296E-05
P_01168,,-0.258917141,0.0355121,0.06183372
P_01169,pstB,-0.299129757,0.039759179,0.06856308
P_00118,,0.760811115,5.69531E-27,6.05285E-26
P_01170,phoU,-0.075338384,0.615418588,0.694023831
P_01171,cheB_1,-0.214377568,0.050491397,0.084572627
P_01172,,-2.086487147,1.20149E-49,2.5074E-48
P_01173,phoR,0.17799455,0.033854423,0.059234919
P_01174,phoB,0.592761815,1.53069E-10,7.05026E-10
