locus_tag,gene_name,logFC,Pvalue,q.value
P_00001,,0.269355121,0.534997209,
P_00010,,-0.161906614,0.759508112,
P_00102,yjjV,0.226475251,0.43176815,0.788089811
P_01009,,-0.047363081,0.882112788,
P_01010,,0.090469465,0.733892668,0.931044996
P_01011,,0.035749598,0.895958133,0.969410089
P_01012,davT_1,0.152737661,0.650568836,
P_01013,,0.324391762,0.304417993,
P_01014,mdtG_1,-0.125725931,0.709025982,
P_01015,,-0.304432415,0.315173964,
P_01016,pat,-0.412542012,0.168967882,
P_01017,,-0.141588687,0.605046555,0.876589947
P_01018,,0.612736524,0.065584562,
P_00103,cra,0.230018965,0.316971625,0.700706487
P_01019,queC_2,0.35877352,0.138414454,0.476477407
P_01020,cyoE,0.842379522,0.00023876,0.008917701
P_01021,cyoD_1,0.839974566,0.000439926,0.013579541
P_01022,cyoC_1,0.740576921,0.001465351,0.03127478
P_01023,cyoB_1,0.609326788,0.005797212,0.076510912
P_01024,cyoA_1,0.611617164,0.004995178,0.069099966
P_01025,dsbB_1,-0.195129255,0.404429626,0.769631267
P_01026,hmp,0.101575008,0.744189237,0.935074931
P_01027,norR2,0.059090356,0.82666432,0.95592068
P_01028,,-0.490878758,0.217638235,
P_00104,,0.574795479,0.0123292,0.121824241
P_01029,rhaS_2,0.16374286,0.544848685,0.845608645
P_01030,malT_2,0.37762959,0.207329496,0.580727743
P_01031,acoR_1,-0.108602994,0.725046919,
P_01032,btuB_2,0.052297921,0.837525426,0.95614808
P_01033,,-0.118306964,0.766018079,
P_01034,,0.187023644,0.507276834,0.829029116
P_01035,,-0.128219081,0.663153601,0.901995156
P_01036,,-0.680106189,0.511313908,
P_01037,,-0.312415631,0.409994797,
P_01038,,0.374011828,0.633151181,
P_00105,lacC,0.694347703,0.005211229,0.070777962
P_01039,,0.153564221,0.754189635,
P_01040,,0.028383217,0.963265119,
P_01041,,0.23691339,0.49380002,
P_01042,,0.074003187,0.808643911,
P_01043,,0.109473469,0.66904132,0.904083575
P_01044,,0.102654938,0.761679261,
P_01045,,0.131835824,0.73676986,
P_01046,,0.157810184,0.5576027,0.854243677
P_01047,,0.14382863,0.614930799,0.882357441
P_01048,,0.259654253,0.590707368,
P_00106,fruA,0.417705946,0.078923994,0.36622532
P_01049,,0.091871996,0.735040294,0.93126713
P_01050,,0.107359891,0.710915453,0.92198932
P_01051,,0.035020889,0.942941471,
P_01052,,-0.079189545,0.781815239,0.943197645
P_01053,,-0.373409129,0.273220832,
P_01054,,0.168044958,0.660914567,
P_01055,,0.217265256,0.439949831,0.793056386
P_01056,,0.068314232,0.806086794,0.952558679
P_01057,,-0.395638151,0.434309303,
P_01058,,0.447807141,0.884363128,
P_00107,phoD_1,-0.108835823,0.768953272,
P_01059,,0.075713055,0.759644095,0.938289081
P_01060,,-0.29358368,0.412074588,
P_01061,,-0.405830275,0.153280514,0.504852486
P_01062,,-0.348182118,0.443004146,
P_01063,,-0.324098,0.311153309,
P_01064,,-0.309892549,0.527481687,
P_01065,,-0.138697887,0.700027853,
P_01066,,0.408695335,0.187972755,0.555491511
P_01067,,0.359795457,0.22943105,0.60261953
P_01068,gpmA_1,0.14752839,0.560611669,0.855620664
P_00108,,0.09596519,0.704643763,0.918987564
P_01069,,0.066982155,0.862697964,
P_01070,,-0.087910375,0.845549815,
P_01071,,0.173696952,0.566415968,
P_01072,hxpA,-0.488688271,0.096968377,
P_01073,,-0.207734086,0.658658119,
P_01074,fdhA_2,-0.623811239,0.011434279,0.116685884
P_01075,hcaB_1,-0.509939339,0.067587225,0.338843337
P_01076,,-0.161060726,0.540770261,0.843682926
P_01077,,-0.030864828,0.931269097,
P_01078,,0.1050988,0.720030401,
P_00109,bfrD,0.091656317,0.777207164,
P_01079,,-0.0186122,0.959699408,
P_01080,,0.079458708,0.775160687,0.943048187
P_01081,gfo,-0.713311511,0.003574487,0.055637533
P_01082,lig_1,-0.760623429,0.003040269,0.049371326
P_01083,,-1.24361178,0.000159847,0.007105962
P_01084,ibpA,-1.313339525,8.47192E-09,2.8766E-06
P_01085,,-0.640527632,0.052462732,
P_01086,,0.291531638,0.361799029,
P_01087,,0.024528484,0.945373114,
P_01088,,0.231072893,0.560579514,0.855620664
P_00110,,-0.154077182,0.652109179,
P_01089,,0.046072001,0.870375545,0.963757813
P_01090,,-0.089358522,0.818395852,
P_01091,,-0.067364288,0.833069719,0.95592068
P_01092,,-0.413742823,0.453076974,
P_01093,,0.033546847,0.917209408,
P_01094,,0.097697783,0.72804481,0.929208855
P_01095,umuD_1,-0.149678754,0.703716341,
P_01096,umuC_1,-0.119637231,0.738184225,
P_01097,,-1.873631226,0.022148081,
P_01098,,-0.091454645,0.795224116,
P_00111,,-0.309811451,0.401214496,
P_01099,,-0.056951454,0.847955989,
P_01100,,0.295287193,0.417100744,
P_01101,recF_1,-0.144536649,0.553708059,0.850803786
P_01102,,0.238328984,0.497575372,
P_01103,,0.212431478,0.834634992,
P_01104,,0.59162035,0.230015286,
P_01105,,0.115518982,0.682642795,0.9096826
P_01106,,0.006924915,0.987052339,
P_01107,,0.235665286,0.578699074,
P_01108,,0.622850825,0.050980682,
P_00011,,-0.014490486,0.958474215,0.984352242
P_00112,ldc,-0.289615667,0.197764337,0.567319355
P_01109,,0.359257763,0.365485896,
P_01110,,0.571051946,0.189785524,
P_01111,,0.449347343,0.117731372,0.446147927
P_01112,,0.177972843,0.551314387,
P_01113,xerC_3,-0.253618852,0.78826121,
P_01115,yccA,-0.203844966,0.373599199,0.747859959
P_01116,murB,0.361617142,0.147293297,0.494730635
P_01117,yfkJ,0.363321319,0.165970743,0.522838126
P_01118,kdsB,0.373014845,0.109896458,0.432799819
P_01119,,0.403076519,0.292557993,
P_00113,osmV,-0.284113866,0.211029884,0.582370712
P_01120,lpxK,0.316380496,0.185750563,0.551813912
P_01121,,0.369491521,0.169235934,0.52587971
P_01122,tolQ_2,0.296480124,0.199848768,0.572419593
P_01123,comEC,0.155674473,0.57191335,0.859042634
P_01124,,0.128654639,0.65608695,0.901397631
P_01125,pfeS,0.255845397,0.407900107,
P_01126,ompR_2,0.80155159,0.00286122,0.048893765
P_01127,barA,-0.168389379,0.465125787,0.809526941
P_01128,ldhA,-0.300402445,0.246675693,0.625056794
P_01129,,0.149609209,0.585732328,0.86686259
P_00114,osmW,-0.096178685,0.698542251,0.917636962
P_01130,,0.424104429,0.116641259,0.44420383
P_01131,resA_1,-0.271438744,0.269563717,0.651914769
P_01132,yfgD,0.014075232,0.96080322,0.986150048
P_01133,,0.055136521,0.820776009,0.955510056
P_01134,,0.503927521,0.107057688,
P_01135,,-0.391292608,0.636362894,
P_01136,cmpR_1,-0.280433116,0.361029654,
P_01137,cfiB,-0.233141828,0.292195715,0.676177817
P_01138,cfiA,-0.286685582,0.191292291,0.559410322
P_01139,,-0.118646662,0.721738744,
P_00115,osmX,0.122062732,0.599453433,0.875466342
P_01140,,-0.223357822,0.380991279,0.753708912
P_01141,,-0.325154791,0.232626087,0.606744716
P_01142,,0.436218958,0.436814734,
P_01143,artQ_3,0.316988521,0.29175804,
P_01144,fliY_2,0.054626851,0.813609581,0.954536593
P_01145,mmuM,0.18122087,0.434562746,0.790064991
P_01146,,0.59523315,0.035777605,0.230395436
P_01147,phnO,0.705054598,0.010113483,0.108235269
P_01148,paiB,0.597444474,0.02625392,0.191895088
P_01149,gabR_1,-0.154876051,0.545555347,0.845608645
P_00116,osmY_1,0.155442187,0.508974834,0.829029116
P_01150,,-0.18297508,0.476894637,0.818349356
P_01151,spuD_1,0.127628487,0.744596136,
P_01152,aphA_1,0.518276503,0.182255772,
P_01153,,0.407434158,0.463372725,
P_01154,,0.027434179,0.911565319,0.972770419
P_01155,ansA,-0.014574904,0.952747063,0.984352242
P_01156,alsT,0.543024885,0.018280119,0.155173279
P_01157,aspA,0.819790493,0.001005395,0.024543455
P_01158,yjiE,-0.053225458,0.830778736,0.95592068
P_01159,purE,0.369434981,0.100521277,0.4167003
P_00117,prfC,0.563729241,0.014115942,0.131478908
P_01160,purK,0.342292878,0.130911329,0.467659413
P_01161,,-0.490071308,0.042062591,0.258820059
P_01162,,0.211794772,0.38972635,0.762907713
P_01163,yeaD_1,0.16341799,0.470604366,0.814695306
P_01164,,0.034317348,0.883997327,0.966633691
P_01165,proP_2,-0.224517948,0.374030094,0.747859959
P_01166,pstS_1,-0.501066377,0.040390457,0.251850344
P_01167,,-0.150501404,0.613282021,0.882357441
